Country or Area,Year,Item,Value
Afghanistan,2019,Gross Domestic Product (GDP),469.9190901
Afghanistan,2018,Gross Domestic Product (GDP),483.8858745
Albania,2019,Gross Domestic Product (GDP),5303.197823
Albania,2018,Gross Domestic Product (GDP),5254.384798
Algeria,2019,Gross Domestic Product (GDP),3975.510381
Algeria,2018,Gross Domestic Product (GDP),4153.95722
Andorra,2019,Gross Domestic Product (GDP),40887.42165
Andorra,2018,Gross Domestic Product (GDP),41794.39857
Angola,2019,Gross Domestic Product (GDP),2670.850732
Angola,2018,Gross Domestic Product (GDP),3289.643374
Anguilla,2019,Gross Domestic Product (GDP),25528.57357
Anguilla,2018,Gross Domestic Product (GDP),21755.95363
Antigua and Barbuda,2019,Gross Domestic Product (GDP),17112.82113
Antigua and Barbuda,2018,Gross Domestic Product (GDP),16672.74424
Argentina,2019,Gross Domestic Product (GDP),10041.4633
Argentina,2018,Gross Domestic Product (GDP),11719.07568
Armenia,2019,Gross Domestic Product (GDP),4622.733216
Armenia,2018,Gross Domestic Product (GDP),4220.534194
Aruba,2019,Gross Domestic Product (GDP),30974.71462
Aruba,2018,Gross Domestic Product (GDP),30262.48723
Australia,2019,Gross Domestic Product (GDP),54763.20239
Australia,2018,Gross Domestic Product (GDP),58596.82634
Austria,2019,Gross Domestic Product (GDP),49700.76183
Austria,2018,Gross Domestic Product (GDP),51183.78164
Azerbaijan,2019,Gross Domestic Product (GDP),4781.946215
Azerbaijan,2018,Gross Domestic Product (GDP),4735.14288
Bahamas,2019,Gross Domestic Product (GDP),34863.7421
Bahamas,2018,Gross Domestic Product (GDP),33767.76606
Bahrain,2019,Gross Domestic Product (GDP),23503.97713
Bahrain,2018,Gross Domestic Product (GDP),23990.96662
Bangladesh,2019,Gross Domestic Product (GDP),1846.416377
Bangladesh,2018,Gross Domestic Product (GDP),1670.796355
Barbados,2019,Gross Domestic Product (GDP),18148.95851
Barbados,2018,Gross Domestic Product (GDP),17745.8912
Belarus,2019,Gross Domestic Product (GDP),6673.531291
Belarus,2018,Gross Domestic Product (GDP),6350.731855
Belgium,2019,Gross Domestic Product (GDP),46198.31032
Belgium,2018,Gross Domestic Product (GDP),47354.63662
Belize,2019,Gross Domestic Product (GDP),4815.171852
Belize,2018,Gross Domestic Product (GDP),4884.742421
Benin,2019,Gross Domestic Product (GDP),1220.492825
Benin,2018,Gross Domestic Product (GDP),1241.824418
Bermuda,2019,Gross Domestic Product (GDP),117767.8943
Bermuda,2018,Gross Domestic Product (GDP),115741.539
Bhutan,2019,Gross Domestic Product (GDP),3360.617194
Bhutan,2018,Gross Domestic Product (GDP),3243.258481
