giant,dwarf,man,woman
238.5460604,124.1033349,179.9167455,159.490128
252.3925013,137.2762663,177.4160548,172.5584341
240.5449393,130.7928169,182.6644495,145.2999849
261.2371213,132.2964497,175.6021694,159.4580906
255.2598602,133.2282715,178.8599957,163.211875
261.8023241,118.3552109,156.8006734,171.7595345
252.6228281,118.668398,176.4506249,169.7206086
253.5608819,132.8391699,187.2618927,152.3782972
252.4734474,140.4670916,170.2729963,141.0429173
256.7780719,125.2402562,175.459686,174.3536131
249.7481588,129.402314,181.327835,161.986509
227.0193111,129.7241553,185.7602926,149.5679506
243.8114528,139.1353201,170.0503812,158.4672696
226.9218831,118.845869,191.7546838,155.9057529
238.2578919,131.8404462,188.5226149,162.823497
249.7416276,124.5398059,179.9804514,153.6983894
249.60839,132.3792434,189.8636294,168.9744379
259.2448217,124.7350079,176.2827044,148.7912663
252.3617054,121.9871911,192.4659444,154.1016795
239.6120593,120.3190053,189.0114873,159.7908652
237.1743814,137.9776026,169.5112454,152.2357462
276.1861832,123.040038,176.9058054,162.2676067
258.1714815,130.0217959,173.7811008,160.2794562
267.7175529,131.3622913,170.5914897,145.6844083
247.5296568,133.2217678,179.2435949,163.5976748
251.6262175,128.3952223,172.4172945,153.9622104
238.6751881,130.8182426,188.1114011,162.5893564
253.5161535,107.3479948,172.573105,162.8319252
252.6272809,118.03892,191.0443574,143.7266811
245.112331,143.0594321,175.2654727,162.3526049
251.7889726,145.3627675,184.7501898,162.4730373
241.1860465,130.6445202,189.1695351,151.7388787
268.8416799,136.8363187,163.906698,161.6184813
247.2400485,143.3435361,178.7695806,144.6429415
248.5183432,136.3622248,163.1530774,161.3758287
253.9217985,132.4195281,163.3516289,157.3333703
250.8574624,141.9029427,199.6011072,161.3568599
246.8313305,121.5317118,188.8606894,153.3714119
256.3913023,136.1185038,175.8933042,162.9278857
278.8247239,136.6667324,184.2847913,152.2419187
246.4371395,119.1958713,178.6276967,155.30377
240.1327349,134.9667147,167.3568411,176.7220116
254.1665815,119.1486796,175.0308263,146.1657077
258.5155212,111.0780651,183.2600008,156.7187949
234.5236416,138.5843021,159.827612,166.3668385
