gender,age,marriage,religion,income
남자,40,이혼,있음,135
남자,40,이혼,있음,196
남자,40,이혼,있음,193
남자,40,이혼,없음,159
남자,40,이혼,없음,195
남자,40,이혼,있음,159
남자,40,이혼,있음,117
남자,47,미혼,없음,193
남자,47,미혼,있음,152
남자,47,미혼,있음,152
남자,47,미혼,없음,161
남자,47,미혼,있음,152
남자,47,미혼,없음,189
남자,47,미혼,없음,168
남자,47,미혼,있음,120
남자,47,미혼,없음,103
남자,47,미혼,있음,154
남자,47,미혼,있음,102
남자,47,미혼,있음,190
남자,47,미혼,없음,148
남자,47,미혼,있음,152
남자,47,미혼,있음,175
남자,47,미혼,없음,130
남자,47,미혼,있음,183
남자,47,미혼,있음,161
남자,47,미혼,없음,185
남자,47,미혼,없음,112
남자,47,미혼,없음,165
남자,47,미혼,있음,139
남자,47,미혼,없음,176
남자,47,미혼,없음,146
남자,47,미혼,없음,178
남자,47,미혼,있음,161
남자,47,미혼,있음,196
남자,47,미혼,없음,135
남자,47,미혼,없음,110
남자,47,미혼,없음,198
남자,47,미혼,없음,141
남자,47,미혼,있음,147
남자,47,미혼,없음,102
남자,47,미혼,없음,196
남자,47,미혼,있음,117
남자,47,미혼,없음,135
남자,47,미혼,없음,176
남자,47,미혼,있음,120
남자,47,미혼,없음,150
남자,47,미혼,없음,159
남자,47,미혼,있음,191
남자,47,미혼,없음,194
남자,47,미혼,있음,198
남자,47,미혼,없음,170
남자,47,미혼,있음,154
남자,47,미혼,없음,150
남자,47,미혼,없음,130
남자,47,미혼,있음,101
남자,47,미혼,없음,137
남자,47,미혼,있음,106
남자,47,미혼,있음,100
남자,47,미혼,없음,194
남자,47,미혼,있음,108
남자,47,미혼,없음,128
남자,47,미혼,있음,108
남자,47,미혼,없음,143
남자,47,미혼,없음,112
남자,47,미혼,없음,147
남자,47,미혼,없음,130
남자,47,미혼,없음,162
남자,47,미혼,없음,175
남자,47,미혼,없음,158
남자,47,미혼,있음,183
남자,47,미혼,없음,134
남자,47,미혼,있음,107
남자,47,미혼,없음,123
남자,47,미혼,없음,105
남자,47,미혼,없음,102
남자,47,미혼,없음,189
남자,47,미혼,없음,121
남자,47,미혼,없음,141
남자,47,미혼,없음,132
남자,47,미혼,없음,177
남자,47,미혼,없음,187
남자,47,미혼,없음,117
남자,47,미혼,없음,115
남자,47,미혼,없음,104
남자,47,미혼,없음,198
남자,47,미혼,있음,161
남자,47,미혼,없음,158
남자,47,미혼,있음,177
남자,47,미혼,있음,101
남자,47,미혼,있음,162
남자,47,미혼,없음,114
남자,47,미혼,없음,102
남자,47,미혼,없음,157
남자,47,미혼,없음,171
남자,47,미혼,있음,155
남자,47,미혼,없음,149
남자,47,미혼,있음,114
남자,47,미혼,없음,162
남자,47,미혼,있음,104
남자,47,미혼,있음,175
남자,47,미혼,있음,113
남자,47,미혼,없음,185
남자,47,미혼,없음,171
남자,47,미혼,없음,189
남자,47,미혼,있음,113
남자,47,미혼,없음,157
남자,47,미혼,있음,126
남자,47,미혼,있음,155
남자,47,미혼,있음,165
남자,47,미혼,없음,111
남자,47,미혼,있음,178
남자,47,미혼,있음,164
남자,47,미혼,없음,195
남자,47,미혼,없음,142
남자,47,미혼,있음,171
남자,47,미혼,있음,146
남자,47,미혼,없음,181
남자,47,미혼,없음,149
남자,47,미혼,있음,125
남자,47,미혼,있음,189
남자,47,미혼,없음,191
남자,47,미혼,있음,122
남자,47,미혼,없음,187
남자,47,미혼,있음,122
남자,47,미혼,없음,110
남자,47,미혼,있음,138
남자,47,미혼,없음,198
남자,47,미혼,없음,180
남자,47,미혼,있음,134
남자,47,미혼,없음,131
남자,47,미혼,없음,129
남자,47,미혼,없음,171
남자,47,미혼,있음,157
남자,47,미혼,있음,188
남자,47,미혼,없음,107
남자,47,미혼,없음,166
남자,47,미혼,있음,101
남자,47,미혼,없음,184
남자,48,결혼,있음,169
남자,48,결혼,없음,103
남자,48,이혼,있음,140
남자,48,이혼,있음,163
남자,48,이혼,있음,124
남자,48,이혼,없음,123
남자,48,이혼,없음,160
남자,48,이혼,있음,105
남자,48,이혼,있음,149
남자,48,이혼,있음,189
남자,48,이혼,있음,164
남자,48,이혼,있음,130
남자,48,이혼,없음,112
남자,48,이혼,있음,107
남자,48,이혼,있음,161
남자,48,이혼,있음,158
남자,48,이혼,있음,197
남자,48,이혼,없음,131
남자,48,이혼,없음,122
남자,48,이혼,있음,177
남자,48,이혼,없음,187
남자,48,이혼,있음,110
남자,48,이혼,있음,198
남자,48,이혼,없음,181
남자,48,이혼,있음,143
남자,48,이혼,없음,118
남자,48,이혼,있음,114
남자,48,이혼,있음,118
