code_job,job
0111,의회의원 고위공무원 및 공공단체임원
0112,기업고위임원
0120,행정 및 경영지원 관리자
0131,연구 교육 및 법률 관련 관리자
0132,보험 및 금융 관리자
0133,보건 및 사회복지 관련 관리자
0134,문화 예술 디자인 및 영상 관련 관리자
0135,정보통신관련 관리자
0139,기타 전문서비스 관리자
0141,건설 전기 및 생산 관련 관리자
0149,기타 건설 전기 및 생산 관련 관리자
0151,판매 및 운송 관리자
0152,고객서비스 관리자
0153,환경 청소 및 경비 관련 관리자
0159,기타 판매 및 고객서비스 관리자
0211,생명 및 자연 과학 관련 전문가
0212,인문 및 사회 과학 전문가
0213,생명 및 자연 과학 관련 시험원
0221,컴퓨터 하드웨어 및 통신공학 전문가
0222,정보시스템 개발 전문가
0223,정보 시스템 운영자
0224,통신 및 방송송출 장비 기사
0231,건축 및 토목 공학 기술자 및 시험원
0232,화학공학 기술자 및 시험원
0233,금속 재료 공학 기술자 및 시험원
0234,환경공학 기술자 및 시험원
0235,전기 전자 및 기계 공학 기술자 및 시험원
0236,안전 관리 및 검사원
0237,항공기 선박 기관사 및 관제사
0239,기타 공학 전문가 및 관련 종사자
0241,의료진료 전문가
0242,약사 및 한약사
0243,간호사
0244,영양사
0245,치료사 및 의료기사
0246,보건의료관련 종사자
0247,사회복지관련 종사자
0248,종교관련 종사자
0251,대학 교수 및 강사
0252,학교 교사
0253,유치원 교사
0254,문리 기술 및 예능 강사
0259,기타 교육 전문가
0261,법률 전문가
0262,행정 전문가
0271,인사 및 경영 전문가
0272,금융 및 보험 전문가
0273,상품기획 홍보 및 조사 전문가
0274,기술영업 및 중개 관련 종사자
0281,작가 기자 및 출판 전문가
0282,큐레이터 사서 및 기록물관리사
0283,연극 영화 및 영상 전문가
0284,화가 사진가 및 공연예술가
0285,디자이너
0286,스포츠 및 레크레이션 관련 전문가
0289,매니저 및 기타 문화 예술 관련 종사자
0311,행정 사무원
0312,경영관련 사무원
0313,회계 및 경리 사무원
0314,비서 및 사무 보조원
0320,금융 및 보험관련 사무 종사자
0330,법률 및 감사 사무 종사자
0391,통계관련 사무원
0392,여행 안내 및 접수 사무원
0399,고객 상담 및 기타 사무원
0411,경찰 소방 및 교도 관련 종사자
0412,경호 및 보안 관련 종사자
0421,의료 복지 관련 서비스 종사자
0422,이 미용 및 관련 서비스 종사자
0423,혼례 및 장례 종사자
0429,기타 이미용 예식 및 의료보조 서비스 종사자
0431,운송 서비스 종사자
0432,여가 및 스포츠 관련 종사자
0441,주방장 및 조리사
0442,음식서비스 종사자
0510,영업 종사자
0521,매장 판매 종사자
0522,상품 대여 종사자
0530,방문 노점 및 통신 판매 관련 종사자
0611,작물재배 종사자
0612,원예 및 조경 종사자
0613,축산 및 사육 관련 종사자
0620,임업관련 종사자
0630,어업관련 종사자
0710,식품가공관련 기능 종사자
0721,섬유 및 가죽 관련 기능 종사자
0722,의복 제조관련 기능 종사자
0730,목재 가구 악기 및 간판 관련 기능 종사자
0741,금형 주조 및 단조원
0742,제관원 및 판금원
0743,용접원
0751,자동차 정비원
0752,운송장비 정비원
0753,기계장비 설치 및 정비원
0761,전기 및 전자기기 설치 및 수리원
0762,전기공
0771,건설구조관련 기능 종사자
0772,건설관련 기능 종사자
0773,건축마감관련 기능 종사자
0774,채굴 및 토목 관련 기능 종사자
0780,영상 및 통신 장비 관련 설치 및 수리원
0791,공예 및 귀금속 세공원
0792,배관공
0799,기타 기능관련 종사자
0811,식품가공관련 기계조작원
0812,음료제조관련 기계조작원
0819,기타 식품가공관련 기계조작원
0821,섬유제조 및 가공 기계조작원
0822,직물 및 신발 관련 기계조작원 및 조립원
0823,세탁관련 기계조작원
0831,석유 및 화학물 가공장치 조작원
0832,화학 고무 및 플라스틱 제품 생산기 조작원
0841,주조 및 금속 가공관련 기계조작원
0842,도장 및 도금기 조작원
0843,비금속 제품 생산기 조작원
0851,금속공작기계 조작원
0852,냉 난방 관련 설비 조작원
0853,자동조립라인 및 산업용 로봇 조작원
0854,운송차량 및 기계 관련 조립원
0855,금속기계부품 조립원
0861,발전 및 배전 장치 조작원
0862,전기 및 전자 설비 조작원
0863,전기 전자 부품 및 제품 제조장치 조작원
0864,전기 전자 부품 및 제품 조립원
0871,철도 및 전동차 기관사
0872,화물열차 차장 및 관련 종사원
0873,자동차 운전원
0874,물품이동 장비 조작원
0875,건설 및 채굴 기계운전원
0876,선박 갑판승무원 및 관련 종사원
0881,상 하수도 처리장치 조작원
0882,재활용 처리 및 소각로 조작원
0891,목재 및 종이 관련 기계조작원
0892,인쇄 및 사진현상 관련 기계조작원
0899,기타 제조관련 기계조작원
0910,건설 및 광업 단순 종사원
0921,하역 및 적재 단순 종사원
0922,배달원
0930,제조관련 단순 종사원
0941,청소원 및 환경 미화원
0942,경비원 및 검표원
0951,가사 및 육아 도우미
0952,음식관련 단순 종사원
0953,판매관련 단순 종사원
0991,농립어업관련 단순 종사원
0992,계기검침 수금 및 주차 관련 종사원
0999,기타 서비스관련 단순 종사원
1011,장교
1012,장기 부사관 및 준위
