국가,4월06일,4월07일,4월08일,4월09일,4월10일,4월11일,4월12일
미국,335524,364723,387547,424945,461437,495535,524903
스페인,130709,135032,140510,146690,152446,157022,161852
이탈리아,128948,132547,135586,139422,143626,147577,152271
독일,100024,102453,107591,112113,118181,122171,124908
프랑스,70478,74390,78167,82048,86334,90276,93790
중국,81708,81740,81802,81865,81907,81953,82052
영국,47806,51608,55242,60733,65077,73758,78991
이란,58226,60500,62589,64586,66220,68192,70029
스위스,21104,21652,22241,22789,23574,24308,24900
한국,10284,10331,10384,10423,10450,10480,10512
